x,y,row,col,name,index,mapped_row,mapped_col
-50.37161636352539,70.50615692138672,253,82,159_STORE_GLETSCHER,121,257,80
-25.17695426940918,69.3445053100586,234,149,160_DENDRITGLETSCHER,122,234,151
-50.480255126953125,70.41431427001953,252,81,161_STORE_GLETSCHER,123,251,78
-25.56271743774414,69.22792053222656,233,148,162_GEIKIE7,124,233,149
-50.184391021728516,70.09558868408203,249,81,163_SERMEQ_AVANNARLEQ2,125,250,78
-50.101531982421875,69.9810791015625,249,81,165_SERMEQ_KUJALLEQ,126,250,78
-26.099397659301758,68.97074890136719,231,147,166_GEIKIE6,127,231,148
-50.20856475830078,69.92916107177734,249,81,173_KANGILERNGATA_SERMIA,128,250,78
-50.094791412353516,69.81389617919922,248,81,176_EQIP_SERMIA,129,250,78
-28.11110496520996,68.65921020507812,229,141,177_BORGGRAVEN,130,229,142
-50.24910354614258,69.39534759521484,244,79,178_SERMEQ_AVANNARLEQ,131,246,78
-28.608034133911133,68.50662994384766,228,139,179_KRONBORG,132,228,140
-49.544681549072266,69.21192932128906,243,81,180_JAKOBSHAVN_ISBRAE,133,246,78
-28.89116668701172,68.4625473022461,228,138,181_ROSENBORG,134,228,139
